
Téléchargement du 06/09/2025;


ASSOC.   DANS LE MONDE DE MARIO DLMM                            
Compte courant carte n° 04104447835;
Solde au 06/09/2025 1 013,53 €

Liste des opérations du compte entre le 01/09/2024 et le 05/09/2025;

Date;Libellé;Débit euros;Crédit euros;
26/08/2025;"PRELEVEMENT             
PayPal Europe S.a.r.l. et Cie S. 1044354068439/PAYPAL 
4TG2224MK8MR4                      
LU96ZZZ0000000000000000058         
1044354068439                      ";1 028,99;;
26/08/2025;"PRELEVEMENT             
EAU DU GRAND LYON - LA REGIE EGL EAU 2080810 1008708007 1008836115 
EPGL71596                          
FR34ZZZ8895BE                      
1D0690000EC2108202501231           ";69,94;;
19/08/2025;"RETRO A TITRE COMMERCIAL
Abonnement banque à distance  


";;3,00;
19/08/2025;"PRELEVEMENT             
ELECTRICITE DE FRANCE DANS LE MONDE DE MARIO D Ref EDF:7947328823 RUM:MA970002074945 ? 2025-08-19 
MA970002074945                     
FR47EDF001007                      
Z007947328823 99285 2   FELIX   992";133,76;;
18/08/2025;"PRELEVEMENT             
BOUYGUES TELECOM PRLV NRJ Mobile Fact N. FM00009628480 
LM12000DUGK56                      
FR35ZZZ418323                      
BTBD000000N0000000000010087586     ";2,99;;
11/08/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC245153 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC245153                      ";54,58;;
05/08/2025;"ABONNEMENT              
Abonnement banque à distance  


";3,00;;
31/07/2025;"PRELEVEMENT             
FRANCE FRAIS RHONE ALPES Prelevement LC226747 
00692C11301580                     
FR41ZZZ602127                      
FFRA/LC226747                      ";36,10;;
23/07/2025;"RETRO A TITRE COMMERCIAL
Tenue de compte professionnel  


";;3,75;
23/07/2025;"RETRO A TITRE COMMERCIAL
Tenue de compte professionnel  


";;3,75;
23/07/2025;"RETRO A TITRE COMMERCIAL
Abonnement banque à distance  


";;3,00;
23/07/2025;"REMISE DE CHEQUE        
6793737  


";;2 000,00;
