Date de la transaction,Code de la transaction,Type de transaction,Référence,Référence du paiement,Statut,Montant facturé débité,Montant facturé crédité,Devise de la carte,Montant de la transaction débité,Montant de la transaction crédité,Devise de la transaction,Taux de change,Frais,Solde disponible
07/09/2025 13:57,CDYYBRL5MQ,Paiement entrant SumUp,SUMUP PID1321544 PAYOUT 070925,,Entrant,0.00,357.58,EUR,0.00,357.58,EUR,1.00,0.00,2314.71
06/09/2025 13:41,COQZLXKNYB,Paiement entrant SumUp,SUMUP PID1320152 PAYOUT 060925,,Entrant,0.00,5.89,EUR,0.00,5.89,EUR,1.00,0.00,1957.13
06/09/2025 07:59,CDNN3YVM7X,Paiement POS,DALLERY PITTIE        FEYZIN          FR,,Approuvé,6.00,0.00,EUR,6.00,0.00,EUR,1.00,0.00,1951.24
05/09/2025 13:46,C92ZPMNPLK,Paiement entrant SumUp,SUMUP PID1318738 PAYOUT 050925,,Entrant,0.00,53.05,EUR,0.00,53.05,EUR,1.00,0.00,1957.24
04/09/2025 13:41,CDENRX77BR,Paiement entrant SumUp,SUMUP PID1317114 PAYOUT 040925,,Entrant,0.00,15.72,EUR,0.00,15.72,EUR,1.00,0.00,1904.19
03/09/2025 08:53,COB4K2WKXL,Virement sortant,Cyril Barraier FR7640618803090004037154261,Remboursement fourniture,Approuvé,83.50,0.00,EUR,83.50,0.00,EUR,1.00,0.00,1888.47
02/09/2025 13:41,CD2ZE5WVKR,Paiement entrant SumUp,SUMUP PID1313835 PAYOUT 020925,,Entrant,0.00,56.98,EUR,0.00,56.98,EUR,1.00,0.00,1971.97
30/08/2025 13:41,C9ZPQRXE3R,Paiement entrant SumUp,SUMUP PID1309656 PAYOUT 300825,,Entrant,0.00,3.93,EUR,0.00,3.93,EUR,1.00,0.00,1914.99
29/08/2025 13:59,COQZ2E6KEE,Paiement entrant SumUp,SUMUP PID1308331 PAYOUT 290825,,Entrant,0.00,92.35,EUR,0.00,92.35,EUR,1.00,0.00,1911.06
27/08/2025 13:42,CDV4JJ2EL4,Paiement entrant SumUp,SUMUP PID1305200 PAYOUT 270825,,Entrant,0.00,11.79,EUR,0.00,11.79,EUR,1.00,0.00,1818.71
26/08/2025 09:32,C9LNZ6Z2BP,Paiement POS,SICA SICODIS          SAINT LAURENT   FR,,Approuvé,70.93,0.00,EUR,70.93,0.00,EUR,1.00,0.00,1806.92
25/08/2025 19:21,COZPYL4ZJW,Paiement en ligne,Temu                  Ireland         IE,,Approuvé,13.68,0.00,EUR,13.68,0.00,EUR,1.00,0.00,1877.85
23/08/2025 13:49,C9753RXVNQ,Paiement entrant SumUp,SUMUP PID1299548 PAYOUT 230825,,Entrant,0.00,62.88,EUR,0.00,62.88,EUR,1.00,0.00,1891.53
22/08/2025 19:17,CONN2PZKYB,Virement sortant,Cyril Barraier FR7640618803090004037154261,Remboursement CSG emballages,Approuvé,185.82,0.00,EUR,185.82,0.00,EUR,1.00,0.00,1828.65
21/08/2025 19:11,CORBEQWJXZ,Paiement POS,SAS   CPLT FEYZIN     FEYZIN          FR,,Approuvé,31.57,0.00,EUR,31.57,0.00,EUR,1.00,0.00,2014.47
21/08/2025 13:36,COMNY3PB26,Paiement entrant SumUp,SUMUP PID1296580 PAYOUT 210825,,Entrant,0.00,41.26,EUR,0.00,41.26,EUR,1.00,0.00,2046.04
20/08/2025 13:39,COP5Z75Z2R,Paiement entrant SumUp,SUMUP PID1294968 PAYOUT 200825,,Entrant,0.00,91.37,EUR,0.00,91.37,EUR,1.00,0.00,2004.78
19/08/2025 14:19,COZP45GYGN,Paiement POS,SICA SICODIS          SAINT LAURENT   FR,,Approuvé,63.96,0.00,EUR,63.96,0.00,EUR,1.00,0.00,1913.41
19/08/2025 10:31,CDYYQ2NM2Y,Paiement POS,SAS   CPLT FEYZIN     FEYZIN          FR,,Approuvé,7.40,0.00,EUR,7.40,0.00,EUR,1.00,0.00,1977.37
14/08/2025 15:48,C9MNYZN7XW,Paiement POS,IKEA VENISSIEUX       VENISSEUX       FR,,Approuvé,129.97,0.00,EUR,129.97,0.00,EUR,1.00,0.00,1984.77
14/08/2025 13:51,C9XN65GEBV,Paiement entrant SumUp,SUMUP PID1286259 PAYOUT 140825,,Entrant,0.00,19.65,EUR,0.00,19.65,EUR,1.00,0.00,2114.74
14/08/2025 11:31,CDGNXL5RER,Paiement POS,IKEA VENISSIEUX       VENISSEUX       FR,,Approuvé,200.00,0.00,EUR,200.00,0.00,EUR,1.00,0.00,2095.09
26/07/2025 13:30,CDB4GVP5JZ,Paiement entrant SumUp,SUMUP PID1256693 PAYOUT 260725,,Entrant,0.00,19.65,EUR,0.00,19.65,EUR,1.00,0.00,2295.09
23/07/2025 13:55,CD3Y3RMXZ7,Paiement entrant SumUp,SUMUP PID1251824 PAYOUT 230725,,Entrant,0.00,120.84,EUR,0.00,120.84,EUR,1.00,0.00,2275.44
22/07/2025 10:48,COYYM266KY,Paiement POS,SumUp  *Patrickfruits bron            FR,,Approuvé,96.00,0.00,EUR,96.00,0.00,EUR,1.00,0.00,2154.60
21/07/2025 14:41,CDLNBBZV6Y,Paiement POS,SAS   CPLT FEYZIN     FEYZIN          FR,,Approuvé,18.08,0.00,EUR,18.08,0.00,EUR,1.00,0.00,2250.60
19/07/2025 13:39,CD2ZWBRN43,Paiement entrant SumUp,SUMUP PID1245606 PAYOUT 190725,,Entrant,0.00,31.44,EUR,0.00,31.44,EUR,1.00,0.00,2268.68
18/07/2025 13:38,CDB4L7NM63,Paiement entrant SumUp,SUMUP PID1244097 PAYOUT 180725,,Entrant,0.00,12.77,EUR,0.00,12.77,EUR,1.00,0.00,2237.24
17/07/2025 13:33,COEN47V23B,Paiement entrant SumUp,SUMUP PID1242371 PAYOUT 170725,,Entrant,0.00,9.82,EUR,0.00,9.82,EUR,1.00,0.00,2224.47
16/07/2025 13:39,C9YYG6PLZZ,Paiement entrant SumUp,SUMUP PID1240627 PAYOUT 160725,,Entrant,0.00,53.05,EUR,0.00,53.05,EUR,1.00,0.00,2214.65
16/07/2025 10:20,CDB4XRG3WL,Paiement POS,SICA SICODIS          SAINT LAURENT   FR,,Approuvé,30.40,0.00,EUR,30.40,0.00,EUR,1.00,0.00,2161.60
15/07/2025 09:59,CDWP2ZPZLG,Paiement POS,SAS   CPLT FEYZIN     FEYZIN          FR,,Approuvé,14.25,0.00,EUR,14.25,0.00,EUR,1.00,0.00,2192.00
12/07/2025 14:06,C9XNG3WJ4R,Paiement entrant SumUp,SUMUP PID1233993 PAYOUT 120725,,Entrant,0.00,41.26,EUR,0.00,41.26,EUR,1.00,0.00,2206.25
12/07/2025 10:48,C9GN3J7JNZ,Paiement POS,E.LECLERC             CHAPONNAY       FR,,Approuvé,3.69,0.00,EUR,3.69,0.00,EUR,1.00,0.00,2164.99
11/07/2025 14:53,C9KPGZYKKB,Paiement POS,SAS   CPLT FEYZIN     FEYZIN          FR,,Approuvé,2.29,0.00,EUR,2.29,0.00,EUR,1.00,0.00,2168.68
11/07/2025 14:21,C9YYGPV3V7,Paiement entrant SumUp,SUMUP PID1232338 PAYOUT 110725,,Entrant,0.00,9.82,EUR,0.00,9.82,EUR,1.00,0.00,2170.97
11/07/2025 10:52,CONNGE6Z75,Paiement POS,SAS   CPLT FEYZIN     FEYZIN          FR,,Approuvé,7.77,0.00,EUR,7.77,0.00,EUR,1.00,0.00,2161.15
10/07/2025 13:54,COGNVQX6BZ,Paiement entrant SumUp,SUMUP PID1230403 PAYOUT 100725,,Entrant,0.00,5.89,EUR,0.00,5.89,EUR,1.00,0.00,2168.92
09/07/2025 14:05,C9LNVZX43Y,Paiement entrant SumUp,SUMUP PID1228600 PAYOUT 090725,,Entrant,0.00,135.58,EUR,0.00,135.58,EUR,1.00,0.00,2163.03
08/07/2025 14:20,C9P56QQ46P,Paiement POS,MAGASIN BAUMALU       BALDENHEIM      FR,,Approuvé,71.84,0.00,EUR,71.84,0.00,EUR,1.00,0.00,2027.45
08/07/2025 13:39,C9XNV7MQMZ,Paiement entrant SumUp,SUMUP PID1226756 PAYOUT 080725,,Entrant,0.00,29.47,EUR,0.00,29.47,EUR,1.00,0.00,2099.29
06/07/2025 13:56,C9ENVZLWRV,Paiement entrant SumUp,SUMUP PID1223434 PAYOUT 060725,,Entrant,0.00,72.32,EUR,0.00,72.32,EUR,1.00,0.00,2069.82
05/07/2025 13:38,C97525YYP5,Paiement entrant SumUp,SUMUP PID1221772 PAYOUT 050725,,Entrant,0.00,21.61,EUR,0.00,21.61,EUR,1.00,0.00,1997.50
04/07/2025 13:37,CDJYVKELX6,Paiement entrant SumUp,SUMUP PID1220118 PAYOUT 040725,,Entrant,0.00,108.07,EUR,0.00,108.07,EUR,1.00,0.00,1975.89
03/07/2025 13:45,COEN5PX4GJ,Paiement entrant SumUp,SUMUP PID1218272 PAYOUT 030725,,Entrant,0.00,41.26,EUR,0.00,41.26,EUR,1.00,0.00,1867.82
02/07/2025 13:34,C9RBY2XMP3,Paiement entrant SumUp,SUMUP PID1216539 PAYOUT 020725,,Entrant,0.00,9.82,EUR,0.00,9.82,EUR,1.00,0.00,1826.56
01/07/2025 13:38,COB4PGYJNL,Paiement entrant SumUp,SUMUP PID1214792 PAYOUT 010725,,Entrant,0.00,47.15,EUR,0.00,47.15,EUR,1.00,0.00,1816.74
29/06/2025 13:35,CO3YL5QW44,Paiement entrant SumUp,SUMUP PID1211559 PAYOUT 290625,,Entrant,0.00,11.79,EUR,0.00,11.79,EUR,1.00,0.00,1769.59
26/06/2025 13:46,CDWPGRRYPE,Paiement entrant SumUp,SUMUP PID1206540 PAYOUT 260625,,Entrant,0.00,39.29,EUR,0.00,39.29,EUR,1.00,0.00,1757.80
25/06/2025 13:40,CDNNW6BNXN,Paiement entrant SumUp,SUMUP PID1204760 PAYOUT 250625,,Entrant,0.00,5.89,EUR,0.00,5.89,EUR,1.00,0.00,1718.51
24/06/2025 13:32,CDXNEJEV2N,Paiement entrant SumUp,SUMUP PID1203091 PAYOUT 240625,,Entrant,0.00,11.79,EUR,0.00,11.79,EUR,1.00,0.00,1712.62
23/06/2025 17:10,CD65N2EVX6,Paiement POS,METRO                 LYON            FR,,Approuvé,55.27,0.00,EUR,55.27,0.00,EUR,1.00,0.00,1700.83
23/06/2025 15:43,C965N76EVG,Paiement POS,SAS   CPLT FEYZIN     FEYZIN          FR,,Approuvé,20.52,0.00,EUR,20.52,0.00,EUR,1.00,0.00,1756.10
21/06/2025 13:28,C92ZNGNVQP,Paiement entrant SumUp,SUMUP PID1198202 PAYOUT 210625,,Entrant,0.00,722.07,EUR,0.00,722.07,EUR,1.00,0.00,1776.62
19/06/2025 13:34,C9MNVMQ6WV,Paiement entrant SumUp,SUMUP PID1194823 PAYOUT 190625,,Entrant,0.00,19.65,EUR,0.00,19.65,EUR,1.00,0.00,1054.55
17/06/2025 13:32,C9XNQJ3ZML,Paiement entrant SumUp,SUMUP PID1191099 PAYOUT 170625,,Entrant,0.00,17.68,EUR,0.00,17.68,EUR,1.00,0.00,1034.90
16/06/2025 17:18,COZPWVKMG7,Paiement POS,SAS   CPLT FEYZIN     FEYZIN          FR,,Approuvé,12.58,0.00,EUR,12.58,0.00,EUR,1.00,0.00,1017.22
13/06/2025 13:39,COV4VQJQKW,Paiement entrant SumUp,SUMUP PID1184507 PAYOUT 130625,,Entrant,0.00,19.65,EUR,0.00,19.65,EUR,1.00,0.00,1029.80
12/06/2025 13:43,COP5Y76532,Paiement entrant SumUp,SUMUP PID1182560 PAYOUT 120625,,Entrant,0.00,5.89,EUR,0.00,5.89,EUR,1.00,0.00,1010.15
11/06/2025 17:41,COV4VRV7J4,Paiement POS,SumUp  *Patrickfruits bron            FR,,Approuvé,126.00,0.00,EUR,126.00,0.00,EUR,1.00,0.00,1004.26
10/06/2025 23:49,COQZBYN4EQ,Paiement en ligne,AMAZON PAYMENTS       PARIS           FR,,Approuvé,7.49,0.00,EUR,7.49,0.00,EUR,1.00,0.00,1130.26
07/06/2025 14:15,CDKPMNXKMJ,Paiement entrant SumUp,SUMUP PID1173795 PAYOUT 070625,,Entrant,0.00,112.00,EUR,0.00,112.00,EUR,1.00,0.00,1137.75
07/06/2025 12:41,C975BEW5XZ,Paiement en ligne,AMAZON EU SARL        PARIS           FR,,Approuvé,12.83,0.00,EUR,12.83,0.00,EUR,1.00,0.00,1025.75
05/06/2025 14:22,COQZXLEJVM,Paiement entrant SumUp,SUMUP PID1170204 PAYOUT 050625,,Entrant,0.00,17.68,EUR,0.00,17.68,EUR,1.00,0.00,1038.58
04/06/2025 13:42,CO553YVYZJ,Paiement entrant SumUp,SUMUP PID1168336 PAYOUT 040625,,Entrant,0.00,35.36,EUR,0.00,35.36,EUR,1.00,0.00,1020.90
28/05/2025 10:28,C9V44Z77WR,Paiement en ligne,AMZN Mktp DE          800-279-6620    LU,,Approuvé,119.02,0.00,EUR,119.02,0.00,EUR,1.00,0.00,985.54
24/05/2025 13:54,COWPPP6XRN,Paiement entrant SumUp,SUMUP PID1149825 PAYOUT 240525,,Entrant,0.00,17.68,EUR,0.00,17.68,EUR,1.00,0.00,1104.56
